DESCRIPTION,WORDNUMBER,VALENCEAVERAGE,AROUSALAVERAGE,DOMINANCEAVERAGE,WORDFREQUENCY
nude,520,6.82,6.41,5.96,20
nuisance,908,3.27,4.49,4.36,5
nun,909,4.93,2.93,4.93,2
nurse,538,6.08,4.84,4.84,17
nursery,910,5.73,4.04,5.18,13
obesity,911,2.73,3.87,3.74,5
obey,912,4.52,4.23,4.26,8
obnoxious,913,3.5,4.74,5.39,5
obscene,914,4.23,5.04,4.48,2
obsession,915,4.52,6.41,4.77,5
ocean,297,7.12,4.95,5.53,34
odd,916,4.82,4.27,4.77,44
offend,917,2.76,5.56,3.73,4
office,568,5.24,4.08,5.59,255
opinion,298,6.28,4.89,5.53,96
optimism,918,6.95,5.34,6.61,15
option,919,6.49,4.74,6.34,5
orchestra,299,6.02,3.52,5.17,60
orgasm,920,8.32,8.1,6.83,7
outdoors,521,7.47,5.92,6.27,6
outrage,921,3.52,6.83,5.26,4
outstanding,922,7.75,6.24,6.4,37
overcast,923,3.65,3.46,4.2,9
overwhelmed,300,4.19,7,3.89,4
owl,522,5.8,3.98,5.82,2
pain,301,2.13,6.5,3.71,88
paint,924,5.62,4.1,5.75,37
palace,302,7.19,5.1,5.69,38
pamphlet,925,4.79,3.62,4.63,3
pancakes,523,6.08,4.06,5.76,.
panic,601,3.12,7.02,3.2,22
paper,303,5.2,2.5,4.47,157
paradise,304,8.72,5.12,6.03,12
paralysis,926,1.98,4.73,2.56,6
part,927,5.11,3.82,4.75,500
party,305,7.86,6.69,5.83,216
passage,928,5.28,4.36,5.02,49
passion,306,8.03,7.26,6.13,28
pasta,524,6.69,4.94,5.8,.
patent,307,5.29,3.5,4.9,35
patient,929,5.29,4.21,4.9,86
patriot,930,6.71,5.17,5.9,10
peace,308,7.72,2.95,5.45,198
penalty,931,2.83,5.1,3.95,14
pencil,309,5.22,3.14,4.78,34
penis,932,5.9,5.54,5.92,.
penthouse,933,6.81,5.52,6.52,1
people,525,7.33,5.94,6.14,847
perfection,310,7.25,5.95,6.71,11
perfume,934,6.76,5.05,5.93,10
person,311,6.32,4.19,5.35,175
pervert,312,2.79,6.26,4.72,1
pest,313,3.13,5.62,5.29,4
pet,935,6.79,5.1,5.85,8
phase,936,5.17,3.98,4.65,72
pie,314,6.41,4.2,5.35,14
pig,937,5.07,4.2,5.34,8
pillow,315,7.92,2.97,4.56,8
pinch,938,3.83,4.59,4.76,6
pistol,939,4.2,6.15,5.05,27
pity,940,3.37,3.72,4.12,14
pizza,526,6.65,5.24,5.69,3
plain,941,4.39,3.52,4.71,48
plane,539,6.43,6.14,4.78,114
